_id,Id,sensorId,readingType,readingValue,readingDate,description,time
65044db14b4addb8946bd24a,29542,16863,acoustic,5718,2013-10-07,Attack by development.,20:30:31
65044db14b4addb8946bd24b,22445,16863,acoustic,7626,2020-12-15,Movie measure address week sound.,01:22:18
65044db14b4addb8946bd24c,24606,16863,acoustic,16007,1996-10-24,Develop culture control along avoid point successful whole.,11:29:49
65044db14b4addb8946bd24d,22261,16863,acoustic,16397,2015-01-16,Senior stock happen partner arrive adult thing.,22:54:07
65044db14b4addb8946bd24e,80388,16863,acoustic,14222,2015-08-14,Environment thousand real somebody foreign high adult.,10:25:33
65044db14b4addb8946bd24f,69207,16863,acoustic,8940,1987-09-19,Happen call important again company test across.,08:20:28
65044db14b4addb8946bd250,69769,16863,acoustic,15663,2013-02-24,Will why inside series operation price religious.,09:20:01
65044db14b4addb8946bd251,57520,16863,acoustic,13743,2023-07-18,Head party this throughout nation mission.,00:28:40
65044db14b4addb8946bd252,59975,16863,acoustic,15791,2021-01-18,Sell city performance save continue.,22:37:47
65044db14b4addb8946bd253,51757,16863,acoustic,18453,1976-08-22,Some remember young woman fear similar billion pay.,22:03:12
65044db14b4addb8946bd254,80357,16863,acoustic,17508,1989-01-12,Above else ask service government than.,06:18:03
65044db14b4addb8946bd255,15159,16863,acoustic,5915,2020-05-22,Indeed beat perhaps why class care data education.,15:30:15
65044db14b4addb8946bd256,56867,16863,acoustic,16378,2023-02-13,Their list foot.,10:09:31
65044db14b4addb8946bd257,86538,16863,acoustic,6815,2000-05-19,Democrat foot drive audience value other its win.,13:42:03
65044db14b4addb8946bd258,97218,16863,acoustic,9322,1982-01-05,Head whose ever receive.,18:49:03
65044db14b4addb8946bd259,51664,16863,acoustic,8702,1975-10-30,Lot better feel training.,23:20:31
65044db14b4addb8946bd25a,20346,16863,acoustic,11581,2003-04-29,Popular second east likely.,05:26:33
65044db14b4addb8946bd25b,34944,16863,acoustic,6191,2008-08-28,Girl audience dark set magazine.,15:12:54
65044db14b4addb8946bd25c,74760,16863,acoustic,17247,1985-01-01,Success significant guy long scene lose.,04:58:28
65044db14b4addb8946bd25d,67676,16863,acoustic,7057,2013-08-30,Light many through learn parent explain south.,01:30:04
65044db14b4addb8946bd25e,19247,19158,humidity,14.56,2010-04-22,Already agency real final dark.,00:02:42
65044db14b4addb8946bd25f,17115,19158,humidity,18.98,2018-04-22,Safe plan leave that stand.,11:20:31
65044db14b4addb8946bd260,19906,19158,humidity,56.21,1985-11-18,Say sea see.,20:48:35
65044db14b4addb8946bd261,19390,19158,humidity,14.35,1989-12-22,Wrong behavior Democrat owner service how partner.,09:39:03
65044db14b4addb8946bd262,24984,19158,humidity,100,1986-03-07,Dinner avoid player among heart sing stock they.,04:17:07
65044db14b4addb8946bd263,87873,19158,humidity,36.56,1993-02-11,Day manage least else several word arm tell.,01:29:22
65044db14b4addb8946bd264,62017,19158,humidity,75.44,2023-08-19,Trouble early teacher the catch eat long.,01:33:01
65044db14b4addb8946bd265,44483,19158,humidity,29.75,2003-10-20,Different similar that front south.,06:10:08
65044db14b4addb8946bd266,90877,19158,humidity,82.14,1978-03-24,Teacher moment dog oil Congress discover rest.,01:25:10
65044db14b4addb8946bd267,84438,19158,humidity,93.7,2006-09-20,Late play too project either vote responsibility.,05:43:26
65044db14b4addb8946bd268,64065,19158,humidity,31.5,1987-06-14,Every describe and system support reason central bring.,14:21:33
65044db14b4addb8946bd269,51110,19158,humidity,61.88,1981-03-30,None direction together listen shake.,14:14:34
65044db14b4addb8946bd26a,86223,19158,humidity,74.03,1998-12-27,Get child away federal night prove young.,12:32:01
65044db14b4addb8946bd26b,64702,19158,humidity,41.63,2016-04-16,Way early play social.,16:13:15
65044db14b4addb8946bd26c,18868,19158,humidity,1.58,1974-02-20,Tend parent run perhaps political product huge.,05:16:43
65044db14b4addb8946bd26d,34324,19158,humidity,51.49,2006-05-08,Art respond exist activity surface situation.,09:06:58
65044db14b4addb8946bd26e,48006,19158,humidity,1.63,1978-11-23,Study great order something.,10:20:07
65044db14b4addb8946bd26f,90614,19158,humidity,98.98,1996-02-05,Station almost note from wrong social investment.,06:08:47
65044db14b4addb8946bd270,99180,19158,humidity,62.03,1996-07-10,Different sense know sister consider option source.,10:00:05
65044db14b4addb8946bd271,43997,19158,humidity,35.29,1985-10-23,Tend less treatment.,09:55:33
65044db14b4addb8946bd272,92896,49989,humidity,60.1,2023-01-03,Modern issue control animal care.,09:16:40
65044db14b4addb8946bd273,77434,49989,humidity,62.2,2014-03-28,Daughter candidate foreign east.,01:50:55
65044db14b4addb8946bd274,16630,49989,humidity,90.84,1972-05-16,Wide recently right both fall.,01:08:46
65044db14b4addb8946bd275,32079,49989,humidity,96.24,1985-04-20,Instead defense rate all recent since his.,22:20:52
65044db14b4addb8946bd276,10982,49989,humidity,32.88,1997-11-18,Thought each choose me.,07:34:15
65044db14b4addb8946bd277,20166,49989,humidity,75.45,1978-03-07,From better thus floor southern capital want.,08:40:05
65044db14b4addb8946bd278,37070,49989,humidity,85.47,1999-04-01,Age kind result name lose southern attack.,08:44:10
65044db14b4addb8946bd279,38768,49989,humidity,2.7,1978-06-09,Arm war enter dream color resource.,11:21:37
65044db14b4addb8946bd27a,78161,49989,humidity,60.29,2011-09-19,Decide development you down member father.,00:24:46
